id;id_list_products;title;condition;procuct_type;price;suggested_price;sold;review_rating;review_amount;seller_name;url;created_at;updated_at;part_number_detectado;score_suspeita;classificacao;probabilidade_pirata;preco_sugerido;desvio_preco;motivos
11;11;Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml;Novo ;Original;75.78;69.9;1000;4.8;0;informticaponto;https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB38358712?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB5109108250&sid=search;2025-10-06 05:13:12;2025-10-06 05:13:12;hp667;30;BAIXA SUSPEITA;10-40%;69.9;8.4%;Vendedor não autorizado
12;12;Kit Cartucho Hp 667 Preto + Hp 667 Colorido Originais;Novo ;Original;143.9;144.8;1000;4.8;0;OBERO INFORMATICA;https://www.mercadolivre.com.br/kit-cartucho-hp-667-preto--hp-667-colorido-originais/up/MLBU750315201?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB2685026226&sid=search;2025-10-06 05:13:25;2025-10-06 05:13:25;hp667;30;BAIXA SUSPEITA;10-40%;144.8;-0.6%;Vendedor não autorizado
13;13;Cartucho Hp 667 Preto Original Para 2774 2775 2776 2777 2376;Novo ;Original;63.9;69.9;500;4.7;0;OBERO INFORMATICA;https://www.mercadolivre.com.br/cartucho-hp-667-preto-original-para-2774-2775-2776-2777-2376/up/MLBU750313191?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=13&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB2685030791&sid=search;2025-10-06 05:13:41;2025-10-06 05:13:41;hp667;45;MÉDIA SUSPEITA;40-70%;69.9;-8.6%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
14;14;Kit Cartucho Tinta Original Hp 667 Preto/colorido 2376 2774;Novo ;Original;167.1;144.8;1000;4.8;0;Loja oficialPark Ecom;https://www.mercadolivre.com.br/kit-cartucho-tinta-original-hp-667-pretocolorido-2376-2774/up/MLBU757689167?has_official_store=false&highlight=false&headerTopBrand=true#polycard_client=search-nordic&search_layout=grid&position=14&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3295749445&sid=search;2025-10-06 05:13:58;2025-10-06 05:13:58;hp667;45;MÉDIA SUSPEITA;40-70%;144.8;15.4%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
15;15;"Cartucho de tinta HP 667 Deskjet Ink Advantage cor preto do 2 mL
MAIS VENDIDO
2º em Cartuchos de Tinta";Novo ;Original;77.99;69.9;1000;4.8;0;Loja oficialTec Print;https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-deskjet-ink-advantage-cor-preto-do-2-ml/p/MLB55040541?has_official_store=false&highlight=true&headerTopBrand=true#polycard_client=search-nordic&search_layout=grid&position=15&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB5686731398&sid=search;2025-10-06 05:14:14;2025-10-06 05:14:14;hp667;30;BAIXA SUSPEITA;10-40%;69.9;11.6%;Vendedor não autorizado
16;16;"Kit 3 Cartuchos Hp 667xl 2 Pretos + 1 Color 2376 2776 6476
MAIS VENDIDO
3º em Cartuchos de Tinta";Novo ;Original;359.9;518.7;1000;4.4;0;TC20240813115050;https://www.mercadolivre.com.br/kit-3-cartuchos-hp-667xl-2-pretos-1-color-2376-2776-6476/p/MLB36948933?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=16&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB5708704106&sid=search;2025-10-06 05:14:26;2025-10-06 05:14:26;hp667xl;80;ALTA SUSPEITA;70-95%;518.7;-30.6%;Vendedor não autorizado, Preço -30.6% abaixo do sugerido (suspeita de pirataria)
17;17;Cartucho 667 Preto Remanufaturado (Recondicionado);Recondicionado ;Original;47.95;69.9;3;4.3;0;IMPRINTML;https://www.mercadolivre.com.br/cartucho-667-preto-remanufaturado/up/MLBU3440495742?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=17&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB5732193326&sid=search;2025-10-06 05:14:40;2025-10-06 05:14:40;;150;PIRATA;95-100%;69.9;-31.4%;Vendedor não autorizado, Título contém palavras-chave suspeitas (e.g., compativel, generico), Número de parte (PN) inválido ou ausente, Preço -31.4% abaixo do sugerido (suspeita de pirataria)
18;18;Kit Com 2 Cartuchos Hp 667 Preto Imediato;Novo ;Original;159.9;139.8;5;4.8;0;THAISAGUIARDASILVASILVA;https://www.mercadolivre.com.br/kit-com-2-cartuchos-hp-667-preto-imediato/p/MLB51185641?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=18&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB5432446438&sid=search;2025-10-06 05:14:54;2025-10-06 05:14:54;hp667;30;BAIXA SUSPEITA;10-40%;139.8;14.4%;Vendedor não autorizado
19;19;Kit 2 Cartuchos Tinta Preta Hp 667 Original 1275 2374 2375;Novo ;Original;179.2;209.7;1000;4.7;0;SARAIVA COMERCIO;https://www.mercadolivre.com.br/kit-2-cartuchos-tinta-preta-hp-667-original-1275-2374-2375/p/MLB2039973438?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=19&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3142771512&sid=search;2025-10-06 05:15:11;2025-10-06 05:15:11;hp667;45;MÉDIA SUSPEITA;40-70%;209.7;-14.5%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
20;20;"Kit Cartucho Hp 664 Preto E Hp 664 Colorido
MAIS VENDIDO
3º em Suprimentos de Impressão";Novo ;Original;143.9;144.8;50000;4.7;0;OBERO INFORMATICA;https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=20&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB4020435573&sid=search;2025-10-06 05:15:26;2025-10-06 05:15:26;hp664;30;BAIXA SUSPEITA;10-40%;144.8;-0.6%;Vendedor não autorizado
21;21;2x Cartucho Tinta Preto Original Hp 667 2376 2774 6476;Novo ;Original;139.9;139.8;1000;4.8;0;OBERO INFORMATICA;https://www.mercadolivre.com.br/2x-cartucho-tinta-preto-original-hp-667-2376-2774-6476/up/MLBU753313524?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=21&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB2685026197&sid=search;2025-10-06 05:15:46;2025-10-06 05:15:46;hp667;45;MÉDIA SUSPEITA;40-70%;139.8;0.1%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
22;22;"Kit Cartucho Hp 667 667xl Deskjet 2776 Preto E Color Full
MAIS VENDIDO
15º em Cartuchos de Tinta HP";Novo ;Original;262.67;285.9;1000;4.6;0;DL20250527161415;https://www.mercadolivre.com.br/kit-cartucho-hp-667-667xl-deskjet-2776-preto-e-color-full/p/MLB48152766?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=22&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB4159307791&sid=search;2025-10-06 05:16:00;2025-10-06 05:16:00;hp667;30;BAIXA SUSPEITA;10-40%;285.9;-8.1%;Vendedor não autorizado
23;23;"Cartucho de tinta preto e tricolor HP 664 de 2 ml 2 unidades
MAIS VENDIDO
2º em Cartuchos de Tinta HP";Novo ;Original;134.9;144.8;10000;4.7;0;offpriceecommerce;https://www.mercadolivre.com.br/cartucho-de-tinta-preto-e-tricolor-hp-664-de-2-ml-2-unidades/p/MLB36769417?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=23&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB5729014430&sid=search;2025-10-06 05:16:15;2025-10-06 05:16:15;hp664;30;BAIXA SUSPEITA;10-40%;144.8;-6.8%;Vendedor não autorizado
24;24;Kit Cartucho 667xl Preto E Color Original Hp 2376 2776 6476;Novo ;Original;407.95;285.9;1000;4.9;0;Loja oficialPrimer Print;https://www.mercadolivre.com.br/kit-cartucho-667xl-preto-e-color-original-hp-2376-2776-6476/p/MLB2039726094?has_official_store=false&highlight=false&headerTopBrand=true#polycard_client=search-nordic&search_layout=grid&position=24&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB1774417059&sid=search;2025-10-06 05:16:29;2025-10-06 05:16:29;hp2376;45;MÉDIA SUSPEITA;40-70%;285.9;42.7%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
25;25;Kit Cartuchos Hp 667 Preto Color 2374 A 2376 2775 2776 6475;Novo ;Original;178.99;144.8;5000;4.7;0;SARAIVA COMERCIO;https://www.mercadolivre.com.br/kit-cartuchos-hp-667-preto-color-2374-a-2376-2775-2776-6475/up/MLBU1411310735?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=25&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB1953458246&sid=search;2025-10-06 05:16:42;2025-10-06 05:16:42;hp667;30;BAIXA SUSPEITA;10-40%;144.8;23.6%;Vendedor não autorizado
26;26;Cartucho Hp 667 Preto Original Hp 3ym79ab - 2376 2776 6476;Novo ;Original;64.9;69.9;500;4.7;0;vanvan;https://www.mercadolivre.com.br/cartucho-hp-667-preto-original-hp-3ym79ab--2376-2776-6476/up/MLBU1454333001?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=26&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3670283514&sid=search;2025-10-06 05:16:57;2025-10-06 05:16:57;3ym79ab;45;MÉDIA SUSPEITA;40-70%;69.9;-7.2%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
27;27;"Kit 2 Cartucho Hp 667 Preto 3ym79al 2776 2376 6476
MAIS VENDIDO
4º em Cartuchos de Tinta";Novo ;Original;178.89;139.8;1000;4.8;0;VIIT;https://www.mercadolivre.com.br/kit-2-cartucho-hp-667-preto-3ym79al-2776-2376-6476/p/MLB43815192?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=27&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB5196092166&sid=search;2025-10-06 05:17:10;2025-10-06 05:17:10;3ym79al;30;BAIXA SUSPEITA;10-40%;139.8;28.0%;Vendedor não autorizado
28;28;"Cartucho De Tinta Hp 667 Cor Preto Colorido Do 2 Ml
MAIS VENDIDO
4º em Cartuchos de Tinta";Novo ;Original;134.9;144.8;1000;4.8;0;SCOTCH;https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-colorido-do-2-ml/p/MLB36840204?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=28&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB4215461307&sid=search;2025-10-06 05:17:25;2025-10-06 05:17:25;hp667;30;BAIXA SUSPEITA;10-40%;144.8;-6.8%;Vendedor não autorizado
29;29;"Kit Cartucho Hp 667 Preto E 667 Colorido 2376 2776
MAIS VENDIDO
10º em Cartuchos de Tinta";Novo ;Original;145.9;144.8;5000;4.8;0;SCOTCH;https://www.mercadolivre.com.br/kit-cartucho-hp-667-preto-e-667-colorido-2376-2776/p/MLB39019456?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=29&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3947158891&sid=search;2025-10-06 05:17:39;2025-10-06 05:17:39;hp667;30;BAIXA SUSPEITA;10-40%;144.8;0.8%;Vendedor não autorizado
30;30;"Kit 2 cartuchos Preto e Colorido HP 662 para Impressoras 1516 2515 2516 3515 3516 2546 3546 4646
MAIS VENDIDO
20º em Cartuchos de Tinta HP";Novo ;Original;167.9;144.8;5000;4.7;0;Loja oficialPark Ecom;https://www.mercadolivre.com.br/kit-2-cartuchos-preto-e-colorido-hp-662-para-impressoras-1516-2515-2516-3515-3516-2546-3546-4646/p/MLB36794457?has_official_store=false&highlight=true&headerTopBrand=true#polycard_client=search-nordic&search_layout=grid&position=30&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB4688529512&sid=search;2025-10-06 05:17:54;2025-10-06 05:17:54;hp662;30;BAIXA SUSPEITA;10-40%;144.8;16.0%;Vendedor não autorizado
